,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TOTAL_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE,LABEL,TRACK_ID
0,0.2657021746031259,1.4016671135022871,0.0035721875952487,0.2126451081147286,0.2135012665584881,132.58538512695984,0.0619455692137994,0.0164590724471349,0.0619455692137994,1.9013434074191795,Track_0,0
1,0.261323073794048,1.4125439877600627,0.0055354487713841,0.2253086807265269,0.1975609937488298,119.42464472387992,0.0609104640755166,0.0159173096984359,0.0609104640755166,1.9774006013994283,Track_1,1
2,0.3187173805733688,1.2498439609667116,0.0045567581684343,0.2895409417969522,0.2252616582092713,50.03862875001884,0.1124420375333681,0.0358372316689674,0.1124420375333679,1.98099441686121,Track_4,4
3,0.2290136365899557,1.3029838232487394,0.0040432752792083,0.1751936899760875,0.1764642601212926,61.60466824269807,0.0291886436102074,0.0066845974203017,0.0291886436102074,1.9968429417660547,Track_6,6
4,0.2447401341855739,0.8935639012414098,0.007223355694167,0.2204906654192643,0.1696271030814726,81.98794495216731,0.0718223486182419,0.0175778112383516,0.0718223486182419,1.895685848620033,Track_7,7
5,0.2093881387157774,0.888283690639052,0.0049856532436448,0.1757563318601472,0.1529855808646274,104.48468121917288,0.0530194712834536,0.0111016484077369,0.0530194712834536,2.0012523183335342,Track_9,9
6,0.2753865409913332,1.3564385810636703,0.004425257486641,0.2161050955495404,0.221575282902398,63.06351788701533,0.0395323232375183,0.0108866697537314,0.0395323232375183,2.073720660653108,Track_11,11
7,0.309815656342559,1.4403273964652217,0.0115468947604633,0.286974441021501,0.1991691162654295,78.07354539832485,0.0407994667514336,0.0126403135700218,0.0407994667514336,2.0151923904018365,Track_14,14
8,0.189756348496152,0.6063456196513591,0.0040883484423668,0.125630721630306,0.1446673553658621,94.68841789957985,0.1046778172939135,0.0198632803782403,0.1046778172939135,1.9924160804483984,Track_15,15
9,0.2224170683756778,0.926016945036538,0.0026948750680187,0.1653962738017096,0.1706520782079839,110.98611711946324,0.0807770449825336,0.0179661935370653,0.0807770449825336,1.8302806527772368,Track_20,20
